record_id,timestamp,airline,SHC,origin,destination,packaging_condition,packaging_seal_status,shipper_company_name,consignee_name,shipper_type,documentation_status,security_screening_status,xray_scan_result,shipment_priority,weather_condition,cargo_weight_kg,damage_history_count,compliance_violation_count,inspection_duration_minutes,shipper_reliability_score,acceptance_rejection_flag
1,2023-10-01 00:00:00,Lufthansa,DGR,HAM,JED,Damaged,Intact,DB Schenker,Gulf Fresh Foods,Agent,Complete,Pending,Clear,Normal,Clear,48318,13,8,122,47,0
2,2023-10-01 01:00:00,Air India,PER,DXB,JED,Average,Intact,FedEx,Al Jazeera Trading,Agent,Missing,Cleared,Clear,VIP,Clear,2616,2,11,135,93,0
3,2023-10-01 02:00:00,Emirates,AVI,HAM,JED,Good,Intact,DHL,Jeddah Electronics,Retail,Pending,Cleared,Suspicious,Express,Fog,20522,9,8,16,70,1
4,2023-10-01 03:00:00,Lufthansa,PER,MAA,JED,Average,Tampered,DB Schenker,Arabian Medical Supply,Corporate,Pending,Pending,Manual Review Required,Express,Fog,34711,11,14,174,51,1
5,2023-10-01 04:00:00,Lufthansa,VAL,OSL,JED,Good,Intact,Maersk,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,VIP,Storm,34031,11,4,104,71,0
6,2023-10-01 05:00:00,Air India,DGR,MAA,JED,Good,Intact,Aramex,Middle East Retail Group,Agent,Pending,Cleared,Clear,Express,Fog,43961,12,1,46,100,0
7,2023-10-01 06:00:00,Emirates,PIL,AMS,JED,Good,Intact,DHL,Gulf Fresh Foods,Agent,Complete,Cleared,Restricted Item Detected,VIP,Storm,46216,10,13,62,83,0
8,2023-10-01 07:00:00,Emirates,PIL,JFK,JED,Good,Intact,Maersk,Middle East Retail Group,Corporate,Complete,Cleared,Clear,VIP,Fog,36892,0,11,24,85,0
9,2023-10-01 08:00:00,Lufthansa,PIL,HAM,JED,Good,Intact,Maersk,Jeddah Electronics,Retail,Complete,Cleared,Suspicious,VIP,Clear,4487,1,10,141,92,0
10,2023-10-01 09:00:00,Qatar,DGR,MXP,JED,Good,Intact,FedEx,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,VIP,Rain,4880,2,8,38,59,0
11,2023-10-01 10:00:00,Lufthansa,PIL,DXB,JED,Good,Intact,Maersk,Desert Logistics,Agent,Complete,Pending,Clear,Express,Storm,31367,2,13,145,43,0
12,2023-10-01 11:00:00,Lufthansa,VAL,FRA,JED,Damaged,Intact,BlueDart,Gulf Fresh Foods,Agent,Missing,Cleared,Clear,VIP,Clear,10627,1,3,160,52,0
13,2023-10-01 12:00:00,Lufthansa,DGR,AMS,JED,Good,Broken,BlueDart,Red Sea Imports,Corporate,Missing,Pending,Clear,Normal,Fog,4136,14,8,138,54,1
14,2023-10-01 13:00:00,Lufthansa,PIL,FRA,JED,Damaged,Intact,UPS,Red Sea Imports,Corporate,Missing,Pending,Clear,Express,Storm,45645,12,4,162,55,0
15,2023-10-01 14:00:00,Air India,DGR,MXP,JED,Good,Tampered,BlueDart,Red Sea Imports,Agent,Complete,Cleared,Clear,VIP,Storm,41393,9,3,88,91,0
16,2023-10-01 15:00:00,Emirates,COL,HAM,JED,Good,Intact,BlueDart,Jeddah Electronics,Retail,Complete,Failed,Suspicious,Express,Fog,48378,12,5,157,63,1
17,2023-10-01 16:00:00,Air India,DGR,MXP,JED,Good,Intact,DB Schenker,Desert Logistics,Retail,Missing,Cleared,Clear,VIP,Clear,29472,6,12,83,92,0
18,2023-10-01 17:00:00,Air India,VAL,DXB,JED,Good,Intact,UPS,Jeddah Electronics,Retail,Pending,Cleared,Clear,Normal,Fog,44879,4,6,165,76,0
19,2023-10-01 18:00:00,Air India,PER,PVG,JED,Damaged,Intact,Aramex,Al Jazeera Trading,Agent,Pending,Cleared,Clear,Normal,Rain,2800,8,3,140,88,0
20,2023-10-01 19:00:00,Lufthansa,DGR,HAM,JED,Good,Intact,Amazon Logistics,Jeddah Electronics,Retail,Complete,Pending,Clear,Normal,Storm,26355,2,0,98,95,0
21,2023-10-01 20:00:00,Qatar,AVI,OSL,JED,Average,Intact,DB Schenker,Arabian Medical Supply,Agent,Complete,Cleared,Manual Review Required,VIP,Fog,15502,3,6,99,58,0
22,2023-10-01 21:00:00,Emirates,VAL,OSL,JED,Good,Intact,Maersk,Middle East Retail Group,Retail,Complete,Cleared,Clear,Express,Clear,21622,11,8,51,73,0
23,2023-10-01 22:00:00,Qatar,HUM,DXB,JED,Good,Tampered,UPS,Middle East Retail Group,Agent,Complete,Cleared,Manual Review Required,Express,Rain,13191,14,0,17,76,0
24,2023-10-01 23:00:00,Air India,COL,PVG,JED,Good,Intact,BlueDart,Red Sea Imports,Corporate,Complete,Pending,Clear,Normal,Fog,9103,2,1,75,44,0
25,2023-10-02 00:00:00,Air India,VAL,FRA,JED,Good,Intact,Maersk,Saudi Pharma Ltd,Retail,Complete,Cleared,Suspicious,Express,Clear,5774,10,1,138,55,0
26,2023-10-02 01:00:00,Qatar,PER,HAM,JED,Good,Intact,DB Schenker,Red Sea Imports,Retail,Complete,Cleared,Clear,Express,Rain,2591,10,2,89,50,0
27,2023-10-02 02:00:00,Qatar,PIL,FRA,JED,Good,Missing,Maersk,Jeddah Electronics,Corporate,Complete,Cleared,Clear,VIP,Rain,21673,7,5,16,60,0
28,2023-10-02 03:00:00,Qatar,PIL,FRA,JED,Good,Broken,DHL,Al Jazeera Trading,Retail,Complete,Failed,Manual Review Required,VIP,Storm,31611,4,11,44,97,1
29,2023-10-02 04:00:00,Air India,VAL,JFK,JED,Good,Intact,DHL,Red Sea Imports,Corporate,Complete,Cleared,Clear,Express,Storm,4706,0,2,141,92,0
30,2023-10-02 05:00:00,Air India,HUM,JFK,JED,Average,Intact,Amazon Logistics,Arabian Medical Supply,Corporate,Complete,Cleared,Clear,Normal,Storm,9917,0,2,173,66,0
31,2023-10-02 06:00:00,Emirates,PIL,HAM,JED,Good,Intact,FedEx,Saudi Pharma Ltd,Agent,Complete,Pending,Clear,Normal,Fog,9653,0,8,32,96,0
32,2023-10-02 07:00:00,Emirates,COL,JFK,JED,Good,Intact,FedEx,Jeddah Electronics,Agent,Missing,Cleared,Clear,Express,Fog,29039,13,14,26,48,0
33,2023-10-02 08:00:00,Air India,AVI,HAM,JED,Good,Intact,BlueDart,Al Jazeera Trading,Corporate,Complete,Cleared,Clear,Normal,Storm,44625,3,12,58,99,0
34,2023-10-02 09:00:00,Qatar,HUM,HAM,JED,Good,Missing,Maersk,Saudi Pharma Ltd,Agent,Pending,Manual Inspection Required,Clear,VIP,Clear,45996,14,2,22,76,1
35,2023-10-02 10:00:00,Qatar,VAL,JFK,JED,Damaged,Intact,Maersk,Saudi Pharma Ltd,Corporate,Pending,Cleared,Clear,Express,Clear,26635,9,7,118,60,0
36,2023-10-02 11:00:00,Emirates,HUM,AMS,JED,Damaged,Intact,DHL,Middle East Retail Group,Agent,Complete,Cleared,Suspicious,VIP,Clear,4330,12,10,109,85,0
37,2023-10-02 12:00:00,Air India,PIL,FRA,JED,Damaged,Intact,Amazon Logistics,Al Jazeera Trading,Agent,Missing,Cleared,Suspicious,Express,Clear,31132,5,1,142,95,0
38,2023-10-02 13:00:00,Emirates,PIL,OSL,JED,Good,Intact,UPS,Desert Logistics,Retail,Complete,Cleared,Clear,Express,Clear,38368,7,9,117,95,0
39,2023-10-02 14:00:00,Emirates,VAL,DXB,JED,Average,Intact,FedEx,Saudi Pharma Ltd,Retail,Complete,Manual Inspection Required,Clear,Express,Clear,36824,4,2,74,58,0
40,2023-10-02 15:00:00,Lufthansa,PIL,HAM,JED,Good,Missing,BlueDart,Middle East Retail Group,Retail,Complete,Cleared,Suspicious,Normal,Fog,5697,2,10,88,80,1
41,2023-10-02 16:00:00,Lufthansa,PIL,DXB,JED,Good,Intact,BlueDart,Middle East Retail Group,Agent,Pending,Cleared,Suspicious,Normal,Fog,38543,0,6,81,61,0
42,2023-10-02 17:00:00,Lufthansa,AVI,MXP,JED,Average,Intact,Amazon Logistics,Middle East Retail Group,Retail,Complete,Cleared,Clear,Express,Rain,20192,2,4,51,57,0
43,2023-10-02 18:00:00,Qatar,AVI,MXP,JED,Average,Intact,DHL,Gulf Fresh Foods,Retail,Complete,Cleared,Suspicious,Normal,Fog,31181,6,0,144,45,0
44,2023-10-02 19:00:00,Air India,PER,MXP,JED,Good,Intact,FedEx,Arabian Medical Supply,Agent,Complete,Cleared,Suspicious,Normal,Rain,49537,5,7,175,85,0
45,2023-10-02 20:00:00,Air India,AVI,MAA,JED,Good,Intact,Maersk,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,Normal,Rain,33266,2,0,154,81,0
46,2023-10-02 21:00:00,Air India,DGR,JFK,JED,Good,Intact,DB Schenker,Middle East Retail Group,Retail,Complete,Cleared,Clear,Normal,Rain,18390,9,12,161,84,0
47,2023-10-02 22:00:00,Air India,HUM,HAM,JED,Good,Intact,UPS,Saudi Pharma Ltd,Agent,Complete,Cleared,Clear,VIP,Storm,22884,3,9,26,99,0
48,2023-10-02 23:00:00,Lufthansa,HUM,MXP,JED,Damaged,Intact,FedEx,Middle East Retail Group,Corporate,Missing,Pending,Suspicious,VIP,Clear,42562,6,6,119,54,1
49,2023-10-03 00:00:00,Qatar,VAL,HAM,JED,Good,Intact,DHL,Middle East Retail Group,Agent,Pending,Cleared,Clear,VIP,Storm,40782,4,5,152,64,0
50,2023-10-03 01:00:00,Qatar,AVI,PVG,JED,Good,Intact,DHL,Desert Logistics,Corporate,Complete,Cleared,Manual Review Required,Normal,Rain,48054,5,7,121,92,0
51,2023-10-03 02:00:00,Lufthansa,PER,FRA,JED,Good,Intact,BlueDart,Jeddah Electronics,Retail,Complete,Cleared,Clear,VIP,Clear,7000,8,14,78,87,0
52,2023-10-03 03:00:00,Qatar,PIL,JFK,JED,Average,Broken,DB Schenker,Al Jazeera Trading,Agent,Complete,Cleared,Clear,VIP,Clear,29491,9,8,47,72,0
53,2023-10-03 04:00:00,Lufthansa,PER,HAM,JED,Good,Intact,DHL,Al Jazeera Trading,Agent,Complete,Cleared,Clear,Normal,Storm,27877,9,8,113,93,0
54,2023-10-03 05:00:00,Air India,PER,DXB,JED,Average,Missing,Aramex,Red Sea Imports,Agent,Complete,Pending,Restricted Item Detected,Express,Storm,46699,12,3,47,99,0
55,2023-10-03 06:00:00,Lufthansa,COL,MXP,JED,Damaged,Tampered,Amazon Logistics,Arabian Medical Supply,Retail,Pending,Cleared,Clear,Express,Fog,7187,6,0,129,51,0
56,2023-10-03 07:00:00,Air India,PIL,DXB,JED,Good,Intact,Amazon Logistics,Al Jazeera Trading,Corporate,Missing,Cleared,Clear,VIP,Fog,42897,5,9,119,85,0
57,2023-10-03 08:00:00,Air India,DGR,HAM,JED,Good,Intact,UPS,Al Jazeera Trading,Agent,Complete,Cleared,Clear,VIP,Rain,28929,14,14,37,87,0
