record_id,timestamp,shc_code,origin_destination,dg_class,packaging_type,handling_error_count,previous_incident_count,cargo_weight_kg,temperature_celsius,humidity_percentage,weather_condition,safety_staff_count,shipper_id,doc_audit_result,incident_flag
DG_000001,2025-11-04 07:53:23,RFL,AMS-JED,4,Plastic,2,3,36366.21,35.58,36.94,Extreme Heat,31,SHIP_0100,1,0
DG_000002,2025-04-13 05:40:50,MAG,MXP-JED,2.1,Fiber,4,1,38195.46,41.83,10.03,Fog,29,SHIP_0181,0,0
DG_000003,2025-03-10 17:07:01,CAO,AMS-JED,2.1,Metal,4,1,40098.77,15.72,38.36,Storm,7,SHIP_0165,1,1
DG_000004,2025-06-15 19:27:32,ELI,OSL-JED,8,Fiber,4,6,3589.44,-11.79,15.58,Rain,1,SHIP_0220,0,0
DG_000005,2025-06-04 02:33:27,ELI,AMS-JED,2.1,Plastic,5,2,32940.57,10.63,67.59,Clear,47,SHIP_0213,0,1
DG_000006,2025-05-26 16:28:29,ELM,MXP-JED,6,Plastic,4,0,8954.63,7.9,46.73,Clear,50,SHIP_0156,0,0
DG_000007,2025-04-24 04:35:15,CAO,PVG-JED,1,Metal,3,8,34659.6,17.5,57.3,Extreme Heat,10,SHIP_0035,1,1
DG_000008,2025-04-09 19:19:27,RFL,JFK-JED,3,CTMV,7,6,5536.93,0.57,11.78,Fog,5,SHIP_0105,1,1
DG_000009,2025-11-18 19:17:46,MAG,MXP-JED,6,CTMV,3,0,7245.47,36.89,73.13,Clear,31,SHIP_0173,0,0
DG_000010,2025-09-28 19:11:04,MAG,PVG-JED,8,Plastic,5,0,18871.79,29.57,24.17,Clear,34,SHIP_0207,0,0
DG_000011,2025-04-03 18:19:43,ELI,OSL-JED,9,Plastic,6,1,14781.22,-8.03,46.32,Extreme Heat,2,SHIP_0184,0,1
DG_000012,2025-10-16 07:47:20,CAO,OSL-JED,4,Plastic,5,3,15477.03,11.27,59.17,Clear,21,SHIP_0352,0,0
DG_000013,2025-08-11 20:35:47,CAO,MXP-JED,4,Plastic,3,1,26008.95,26.37,12.36,Storm,48,SHIP_0073,0,0
DG_000014,2025-03-13 08:14:09,ICE,AMS-JED,4,IBC,6,3,22297.63,37.6,51.05,Rain,45,SHIP_0187,1,0
DG_000015,2025-03-12 13:43:48,ELI,DXB-JED,6,Metal,4,4,14246.11,35.81,63.39,Clear,36,SHIP_0013,0,0
DG_000016,2025-04-06 09:18:10,RCL,AMS-JED,4,Plastic,5,1,1344.76,9.46,37.88,Clear,30,SHIP_0377,0,0
DG_000017,2025-05-24 21:51:13,CAO,JFK-JED,8,Metal,0,4,42778.62,37.66,56.84,Extreme Heat,15,SHIP_0229,0,0
DG_000018,2025-05-30 08:33:24,CAO,OSL-JED,8,Fiber,6,0,15925.14,4.1,74.1,Clear,11,SHIP_0020,1,0
DG_000019,2025-09-13 06:15:09,MAG,PVG-JED,3,Metal,3,2,21069.72,31.93,58.61,Clear,35,SHIP_0321,0,0
DG_000020,2025-10-20 19:13:16,ICE,MAA-JED,2.1,Fiber,2,3,17339.61,35.36,17.58,Fog,14,SHIP_0296,0,0
DG_000021,2025-03-11 07:19:59,CAO,OSL-JED,5,Plastic,5,8,9558.18,5.19,50.24,Clear,33,SHIP_0179,0,0
DG_000022,2025-10-04 23:10:59,RFL,HAM-JED,5,Metal,5,3,25503.79,6.37,33.05,Clear,33,SHIP_0231,0,0
DG_000023,2025-05-17 05:18:04,RCL,AMS-JED,2.1,Plastic,5,3,24747.69,0.51,58.86,Rain,26,SHIP_0324,0,0
DG_000024,2025-11-08 09:21:43,CAO,HAM-JED,4,Plastic,5,3,29836.85,39.15,55.86,Fog,37,SHIP_0111,0,0
DG_000025,2025-11-28 08:49:21,MAG,DXB-JED,3,Fiber,6,0,29705.35,39.41,58.21,Clear,9,SHIP_0313,0,0
